TP (%),RPM,Lambda (AFR)
5.061,2901.99,11.93
5.063,2903.23,11.93
5.064,2904.33,11.92
5.066,2905.42,11.92
5.068,2906.5,11.91
5.071,2907.58,11.91
5.073,2908.64,11.9
5.076,2909.7,11.9
5.08,2910.89,11.89
5.084,2911.95,11.89
5.089,2913.14,11.88
5.094,2914.2,11.88
5.101,2915.4,11.87
5.108,2916.48,11.87
5.116,2917.72,11.86
5.125,2918.84,11.86
5.135,2919.99,11.85
5.146,2921.17,11.85
5.158,2922.36,11.85
5.172,2923.57,11.85
5.187,2924.78,11.84
5.204,2926.18,11.84
5.221,2927.39,11.84
5.241,2928.78,11.84
5.262,2929.99,11.83
5.285,2931.35,11.83
5.311,2932.52,11.83
5.339,2933.85,11.83
5.368,2934.98,11.83
5.4,2936.09,11.83
5.433,2937.19,11.83
5.469,2938.26,11.82
5.506,2939.32,11.82
5.546,2940.36,11.82
5.589,2941.58,11.82
5.633,2942.62,11.82
5.681,2943.85,11.82
5.729,2944.9,11.82
5.782,2946.14,11.82
5.834,2947.2,11.82
5.892,2948.44,11.82
5.949,2949.5,11.82
6.011,2950.74,11.81
6.073,2951.79,11.81
6.14,2953.01,11.81
6.206,2954.05,11.81
6.278,2955.24,11.81
6.347,2956.27,11.81
6.423,2957.44,11.81
6.495,2958.47,11.81
6.575,2959.65,11.81
6.65,2960.69,11.8
6.734,2961.89,11.8
6.811,2962.95,11.8
6.898,2964.17,11.8
6.976,2965.27,11.8
7.065,2966.52,11.8
7.146,2967.66,11.8
7.237,2968.97,11.79
7.319,2970.14,11.79
7.412,2971.48,11.79
7.495,2972.69,11.79
7.589,2974.05,11.79
7.671,2975.28,11.79
7.766,2976.68,11.79
7.848,2977.92,11.78
7.93,2979.19,11.78
8.012,2980.45,11.78
8.092,2981.74,11.78
8.173,2983.03,11.78
8.252,2984.36,11.78
8.343,2985.87,11.78
8.42,2987.25,11.78
8.508,2988.81,11.77
8.595,2990.41,11.77
8.681,2992.05,11.77
8.766,2993.7,11.77
8.85,2995.42,11.77
8.935,2997.17,11.77
9.005,2998.79,11.77
9.086,3000.65,11.77
9.154,3002.33,11.76
9.233,3004.26,11.76
9.3,3006.01,11.76
9.378,3008.01,11.76
9.445,3009.78,11.76
9.521,3011.84,11.76
9.585,3013.69,11.76
9.659,3015.8,11.76
9.722,3017.7,11.76
9.794,3019.86,11.76
9.855,3021.82,11.76
9.926,3024.03,11.76
9.985,3026.03,11.76
10.052,3028.32,11.76
10.109,3030.38,11.76
10.174,3032.73,11.75
10.23,3034.85,11.75
10.293,3037.28,11.75
10.347,3039.46,11.75
10.408,3041.93,11.75
10.46,3044.14,11.75
10.519,3046.64,11.75
10.57,3048.85,11.75
10.626,3051.35,11.75
10.682,3053.87,11.75
10.736,3056.38,11.75
10.79,3058.89,11.75
10.842,3061.42,11.75
10.893,3063.97,11.74
10.938,3066.21,11.74
10.987,3068.77,11.74
11.03,3071.06,11.74
11.077,3073.66,11.74
11.118,3075.98,11.74
11.163,3078.64,11.73
11.209,3081.36,11.73
11.253,3084.12,11.73
11.297,3086.94,11.73
11.34,3089.78,11.72
11.384,3092.68,11.72
11.42,3095.25,11.72
11.462,3098.17,11.71
11.498,3100.77,11.71
11.539,3103.74,11.71
11.578,3106.72,11.7
11.617,3109.69,11.7
11.656,3112.69,11.69
11.693,3115.7,11.69
11.73,3118.71,11.68
11.76,3121.38,11.68
11.793,3124.42,11.67
11.826,3127.44,11.66
11.858,3130.49,11.66
11.888,3133.55,11.65
11.917,3136.64,11.64
11.945,3139.77,11.64
11.966,3142.55,11.63
11.991,3145.73,11.62
12.012,3148.94,11.62
12.034,3152.14,11.61
12.054,3155.33,11.6
12.071,3158.56,11.59
12.088,3161.78,11.59
12.103,3165,11.58
12.115,3168.2,11.57
12.126,3171.43,11.56
12.136,3174.64,11.56
12.143,3177.87,11.55
12.148,3180.68,11.54
12.153,3183.9,11.54
12.156,3187.13,11.53
12.159,3190.34,11.52
12.16,3193.58,11.51
3.189,3610.21,11.42
3.202,3610.21,11.39
3.224,3610.13,11.37
3.252,3609.99,11.35
3.288,3609.81,11.32
3.327,3609.57,11.3
3.374,3609.19,11.28
3.424,3608.74,11.26
3.477,3608.21,11.24
3.534,3607.63,11.22
3.592,3606.93,11.2
3.652,3606.24,11.18
3.713,3605.49,11.16
3.775,3604.69,11.14
3.838,3603.86,11.12
3.908,3602.91,11.1
3.972,3602.01,11.08
4.037,3601.09,11.06
4.102,3600.16,11.04
4.166,3599.22,11.02
4.231,3598.29,11.01
4.295,3597.36,10.99
4.359,3596.43,10.98
4.423,3595.52,10.96
4.485,3594.63,10.95
4.547,3593.75,10.93
4.609,3592.88,10.92
4.669,3592.04,10.91
4.729,3591.21,10.9
4.788,3590.4,10.89
4.847,3589.61,10.88
4.903,3588.9,10.87
4.96,3588.19,10.87
5.015,3587.53,10.86
5.069,3586.91,10.86
5.122,3586.34,10.86
5.174,3585.83,10.86
5.225,3585.37,10.86
5.274,3584.97,10.86
5.322,3584.62,10.87
5.369,3584.33,10.87
5.415,3584.1,10.88
5.459,3583.92,10.89
5.502,3583.8,10.9
5.545,3583.73,10.91
5.587,3583.72,10.93
5.628,3583.76,10.94
5.667,3583.91,10.96
5.706,3584.08,10.97
5.745,3584.3,10.99
5.777,3584.6,11.01
5.814,3584.94,11.03
5.849,3585.35,11.05
5.883,3585.85,11.06
5.917,3586.36,11.08
5.954,3586.96,11.1
5.986,3587.57,11.12
6.017,3588.23,11.14
6.048,3588.92,11.16
6.077,3589.64,11.18
6.106,3590.4,11.19
6.134,3591.18,11.21
6.162,3591.99,11.22
6.189,3592.82,11.24
6.216,3593.69,11.25
6.242,3594.56,11.26
6.268,3595.46,11.27
6.294,3596.38,11.29
6.319,3597.31,11.29
6.343,3598.26,11.3
6.367,3599.23,11.31
6.391,3600.2,11.32
6.415,3601.19,11.33
6.438,3602.17,11.33
6.461,3603.16,11.34
6.484,3604.16,11.34
6.509,3605.27,11.34
6.531,3606.28,11.35
6.553,3607.31,11.35
6.576,3608.33,11.35
6.598,3609.37,11.36
6.62,3610.41,11.36
6.642,3611.46,11.36
6.664,3612.53,11.36
6.685,3613.6,11.36
6.707,3614.67,11.36
6.729,3615.75,11.36
6.751,3616.84,11.36
6.772,3617.93,11.36
6.794,3619.02,11.36
6.815,3620.1,11.36
6.836,3621.18,11.36
6.86,3622.37,11.37
6.881,3623.45,11.37
6.902,3624.52,11.37
6.924,3625.59,11.37
6.945,3626.67,11.37
6.966,3627.74,11.37
6.989,3628.93,11.37
7.01,3630,11.37
7.031,3631.06,11.37
7.051,3632.12,11.37
7.072,3633.18,11.37
